alt_km,lat_deg,lon_deg,lt_h,doy,f107,f107m,kp3h,kp24h,temperature_k,exospheric_temp_k,density_g_cm3,mean_mol_mass_g,d_h_g_cm3,d_he_g_cm3,d_o_g_cm3,d_n2_g_cm3,d_o2_g_cm3,d_n_g_cm3
121,-90,-360,0,1,70,70,0,0,590.6219482421875,1000,1.1342920526458133e-11,11.313753128051758,2.9990720735832699e-13,5.9408771305169417e-13,6.5266026090526896e-12,1.8566164231015314e-12,1.683398971434602e-12,3.8230781929972368e-13
124.31,-88.730000000000004,-354.88999999999999,0.37,3,70.829999999999998,70.609999999999999,0.050000000000000003,0.040000000000000001,788.72052001953125,1000,7.7407238605053941e-12,10.359264373779297,2.5076858992112427e-13,4.8594553945027763e-13,4.4827383992307457e-12,1.1953293172980994e-12,1.0605058498036612e-12,2.6543651716719185e-13
127.62,-87.459999999999994,-349.77999999999997,0.73999999999999999,5,71.659999999999997,71.219999999999999,0.10000000000000001,0.080000000000000002,890.88543701171875,1000,6.3416637392788022e-12,9.7807846069335938,2.3206146748146195e-13,4.4265646378417733e-13,3.6961596977524991e-12,9.3559209858595782e-13,8.1437862096273017e-13,2.2081558044735605e-13
130.93000000000001,-86.189999999999998,-344.67000000000002,1.1099999999999999,7,72.489999999999995,71.829999999999998,0.15000000000000002,0.12,943.6099853515625,1000,5.5763124152952148e-12,9.3545074462890625,2.2328012106321432e-13,4.2024532725254415e-13,3.2692746079754365e-12,7.9176438625913614e-13,6.7483638035298332e-13,1.9691168725959052e-13
134.24000000000001,-84.920000000000002,-339.56,1.48,9,73.319999999999993,72.439999999999998,0.20000000000000001,0.16,970.83831787109375,1000,5.0678142238247403e-12,9.0048847198486328,2.1864534651121897e-13,4.0649420136353032e-13,2.9849814026788879e-12,6.9768773007169993e-13,5.788063713214886e-13,1.8119914477286031e-13
137.55000000000001,-83.650000000000006,-334.44999999999999,1.8500000000000001,11,74.150000000000006,73.049999999999997,0.25,0.20000000000000001,984.90911865234375,1000,4.685933932546682e-12,8.7012357711791992,2.1593837828959295e-13,3.9676771525394561e-13,2.7676968789719369e-12,6.3141207757091977e-13,5.0481976454977429e-13,1.6929915856809391e-13
140.86000000000001,-82.379999999999995,-329.33999999999997,2.2199999999999998,13,74.980000000000004,73.659999999999997,0.30000000000000004,0.23999999999999999,992.18536376953125,1000,4.3768591181936323e-12,8.4300832748413086,2.1417557397734877e-13,3.8903345063630301e-13,2.5861398526144663e-12,5.8409879580625934e-13,4.4401743566624408e-13,1.5939400949301075e-13
144.17000000000002,-81.109999999999999,-324.23000000000002,2.5899999999999999,15,75.810000000000002,74.269999999999996,0.35000000000000003,0.28000000000000003,995.9505615234375,1000,4.1155941502002413e-12,8.1850490570068359,2.1288819231773948e-13,3.8233272884463654e-13,2.4260775680073898e-12,5.5140077616713801e-13,3.9223862330871329e-13,1.5065636997484144e-13
147.47999999999999,-79.840000000000003,-319.12,2.96,17,76.640000000000001,74.879999999999995,0.40000000000000002,0.32000000000000001,997.90020751953125,1000,3.8890024013638058e-12,7.9623541831970215,2.1184428180848897e-13,3.7619584639277115e-13,2.2806140656528306e-12,5.3036985610613319e-13,3.4729126041979641e-13,1.4268721295652986e-13
150.78999999999999,-78.569999999999993,-314.00999999999999,3.3300000000000001,19,77.469999999999999,75.489999999999995,0.45000000000000001,0.35999999999999999,998.91046142578125,1000,3.6781033947719255e-12,7.7421770095825195,2.1092684348265889e-13,3.7038769403960337e-13,2.1462109433406651e-12,5.0741848873700479e-13,3.0787500912392296e-13,1.352845380208148e-13
154.09999999999999,-77.299999999999997,-308.89999999999998,3.7000000000000002,21,78.299999999999997,76.099999999999994,0.5,0.40000000000000002,999.43426513671875,1000,3.4514294634108156e-12,7.4785737991333008,2.1007619201065392e-13,3.6478903665121409e-13,2.0209248770969301e-12,4.5417641002243325e-13,2.731226703134304e-13,1.2834022310604515e-13
157.41,-76.030000000000001,-303.79000000000002,4.0700000000000003,23,79.129999999999995,76.709999999999994,0.55000000000000004,0.44,999.7060546875,1000,3.2392786369905835e-12,7.2186226844787598,2.0926176644373712e-13,3.5933875233012946e-13,1.9035927348309833e-12,4.0289841775342783e-13,2.4239488996720404e-13,1.2179202145499307e-13
160.72,-74.760000000000005,-298.68000000000001,4.4399999999999995,25,79.959999999999994,77.319999999999993,0.60000000000000009,0.47999999999999998,999.84716796875,1000,3.0407833369328063e-12,6.9632382392883301,2.0846775098271736e-13,3.5400493842742409e-13,1.7934361678031974e-12,3.5409083434453925e-13,2.1518332634414689e-13,1.1560033258330854e-13
164.03,-73.489999999999995,-293.56999999999999,4.8099999999999996,27,80.789999999999992,77.930000000000007,0.65000000000000002,0.52000000000000002,999.92047119140625,1000,2.8554044979173243e-12,6.7135567665100098,2.0768608187393678e-13,3.4877078980942444e-13,1.6898816330643274e-12,3.082636684977047e-13,1.9106501862424519e-13,1.0973727894263152e-13
167.34,-72.219999999999999,-288.45999999999998,5.1799999999999997,29,81.620000000000005,78.539999999999992,0.70000000000000007,0.56000000000000005,999.9586181640625,1000,2.6827184137351301e-12,6.4707574844360352,2.06912557833977e-13,3.4362700944250146e-13,1.5924632489408563e-12,2.6585732313538779e-13,1.6967740960101979e-13,1.0418102741171359e-13
170.65000000000001,-70.950000000000003,-283.35000000000002,5.5499999999999998,31,82.450000000000003,79.150000000000006,0.75,0.59999999999999998,999.97845458984375,1000,2.5223130875606792e-12,6.2359604835510254,2.0614496980091157e-13,3.385681221056841e-13,1.5007814869322234e-12,2.2719983717740116e-13,1.5070534880798347e-13,9.8913268526366893e-14
173.96000000000001,-69.680000000000007,-278.24000000000001,5.9199999999999999,33,83.280000000000001,79.760000000000005,0.80000000000000004,0.64000000000000001,999.98876953125,1000,2.3737231798215408e-12,6.0101165771484375,2.0538213870487793e-13,3.3359082098234627e-13,1.4144770424384667e-12,1.9248346677398082e-13,1.3387210719313647e-13,9.3917732477740573e-14
177.27000000000001,-68.409999999999997,-273.13,6.29,35,84.109999999999999,80.370000000000005,0.85000000000000009,0.68000000000000005,999.994140625,1000,2.2364143956871141e-12,5.7939629554748535,2.0462356310237129e-13,3.2869263951254557e-13,1.3332233537652338e-12,1.6176098546587248e-13,1.1893409163337559e-13,8.9179680892552404e-14
